contrast , dissimilarity ,homogeneity, ASM,energy,correlation,class
[3064.373333333333, 44.766666666666673, 0.016777612868135755, 0.0017333333333333337, 0.04163331998932266, 0.022187429534170345, 1]
[2402.8600000000001, 38.213333333333338, 0.028267750583189144, 0.0017833333333333338, 0.042229531531066428, 0.075580231059673958, 1]
[2373.4766666666665, 38.816666666666663, 0.031585978051443052, 0.0017555555555555558, 0.041899350299921784, -0.00037896197182960071, 1]
[1017.6600000000001, 25.600000000000001, 0.038627314810387163, 0.0017833333333333338, 0.042229531531066428, 0.18527634648442973, 1]
[1314.0966666666668, 28.036666666666669, 0.040506805508198754, 0.0018000000000000004, 0.042426406871192854, 0.085021135048825511, 1]
[4.7699999999999996, 1.5366666666666666, 0.50552023969671034, 0.030888888888888893, 0.17575235101952091, 0.87971877223490103, 0]
[109.53, 7.8166666666666682, 0.184918477017677, 0.0068333333333333336, 0.082663978450914971, 0.71148189070107937, 0]
[7.1066666666666674, 1.52, 0.56702823896770749, 0.049599999999999998, 0.22271057451320087, 0.94078527830919201, 0]
[3.8066666666666666, 0.81999999999999995, 0.77579914354261559, 0.078116666666666654, 0.27949358967007931, 0.80344031091543122, 0]
[46.563333333333333, 5.4699999999999998, 0.16200865031069853, 0.0045611111111111121, 0.067535998631182703, 0.83068206819993129, 0]
